symbol,direction,entry_time,entry_price,exit_time,exit_price,result,r_multiple,costs
BOMEUSDT,SHORT,1718640000000,0.009353,1719496800000,0.010761837874372458,LOSS,-1.0128500490963688,1.8103635854509886e-05
BOMEUSDT,SHORT,1720137600000,0.00739,1722233700000,0.010099080650057173,LOSS,-1.0058103528224043,1.574071440118034e-05
BOMEUSDT,SHORT,1722844800000,0.005974,1728876600000,0.008719178613797429,LOSS,-1.0048173221668248,1.3224409788140101e-05
BOMEUSDT,SHORT,1738540800000,0.002357,1743963300000,0.0010181650349133085,WIN,1.9954626509709776,3.0373807644286724e-06
BOMEUSDT,SHORT,1750536000000,0.001373,1751234400000,0.0015907997453504386,LOSS,-1.012247320704955,2.667463330764333e-06
BOMEUSDT,SHORT,1760630400000,0.001079,1763576100000,0.0007282511979135936,WIN,1.9907258076510208,1.6264559283617024e-06
BOMEUSDT,SHORT,1763712000000,0.000691,1767567600000,0.0008486898588658752,LOSS,-1.0087878346833299,1.3857524109509413e-06
BOMEUSDT,SHORT,1769702400000,0.000539,1770336000000,0.00036699399193563967,WIN,1.9905193987033833,8.153601915404239e-07
BOMEUSDT,SHORT,1770796800000,0.000374,1771038000000,0.00041575362032296415,LOSS,-1.0170233527899322,7.107866090146986e-07
BOMEUSDT,SHORT,1771516800000,0.000409,1773160200000,0.0004476346994850273,LOSS,-1.0199556089927702,7.709789564763834e-07
BOMEUSDT,SHORT,1775131200000,0.000364,1775621700000,0.00040498630798000877,LOSS,-1.0168860262988586,6.920958744435494e-07
BOMEUSDT,SHORT,1780646400000,0.00042,1785049200000,0.0005236975047595358,LOSS,-1.0081906357896857,8.493484937845483e-07
OPENAIUSDT,SHORT,1784606400000,1048.95,,,UNRESOLVED,0.0,0.0
FLOKIUSDT,SHORT,1693584000000,1.71e-05,1694202300000,1.8500214543817457e-05,LOSS,-1.0228825455883277,3.204047313234237e-08
FLOKIUSDT,LONG,1701662400000,3.51e-05,1701672300000,4.013797513997063e-05,WIN,1.973118894734627,6.771317003094161e-08
FLOKIUSDT,LONG,1701734400000,3.737e-05,1704283200000,3.228368636982933e-05,LOSS,-1.0123251021375699,6.26893349955677e-08
FLOKIUSDT,LONG,1708358400000,3.466e-05,1708983900000,4.146354792959241e-05,WIN,1.979860557128126,6.850983242704134e-08
FLOKIUSDT,LONG,1708992000000,4.329e-05,1709116200000,6.182693985170757e-05,WIN,1.98979318709179,9.460153847856026e-08
FLOKIUSDT,LONG,1709179200000,6.026e-05,1709323200000,8.841461741358332e-05,WIN,1.9904952340297712,1.3380152474872664e-07
FLOKIUSDT,LONG,1709366400000,0.00012003,1709945100000,0.0002651671696690987,WIN,1.995223161288613,3.466484252682587e-07
